Word,Definition,Pronunciation,Grammar,Example
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概",/ˈæbstrækt/,"abstract concept, abstract art, in the abstract, abstract from",The abstract concept of freedom is hard to define. 自由的抽象概念很难定义。
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的",/ˌækəˈdemɪk/,"academic achievement, academic year, academic research, academic performance",Her academic performance has improved significantly. 她的学业表现显著提高了。
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话",/ˈæksent/,"with an accent, accent mark, put the accent on, foreign accent",He speaks English with a strong Chinese accent. 他说英语带有浓重的中国口音。
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳",/əkˈsept/,"accept an invitation, accept responsibility, accept the fact, accept as",She accepted the job offer without hesitation. 她毫不犹豫地接受了这份工作邀请。
acceptable,adj. 可接受的；合意的；可忍受的,/əkˈseptəbl/,"acceptable level, acceptable standard, acceptable risk, acceptable to",The quality of the product is acceptable to most customers. 产品的质量对大多数客户来说是可接受的。
access,"n. 进入；使用权；通路
vt. 使用；存取；接近",/ˈækses/,"have access to, gain access, access to information, easy access",Students have access to the library resources. 学生可以使用图书馆资源。
accident,n. 事故；意外； 意外事件；机遇,/ˈæksɪdənt/,"by accident, traffic accident, accident insurance, accident prevention",He found the lost key by accident. 他偶然找到了丢失的钥匙。
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的",/ˌæksɪˈdentl/,"accidental discovery, accidental damage, by accident",The accidental discovery of penicillin changed medicine forever. 青霉素的偶然发现永远改变了医学。
accommodation,n. 住处，膳宿；调节；和解；预订铺位,/əˌkɒməˈdeɪʃn/,"book accommodation, student accommodation, accommodation facilities",We need to book accommodation for our trip to Beijing. 我们需要为北京之行预订住宿。
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱",/əˈkʌmpəni/,"accompany sb. to, be accompanied by, accompany on the piano",She will accompany her friend to the airport tomorrow. 她明天将陪朋友去机场。
accomplish,vt. 完成；实现；达到,/əˈkʌmplɪʃ/,"accomplish a task, accomplish one's goal, accomplish nothing","With hard work, he accomplished his dream of becoming a doctor. 通过努力，他实现了成为医生的梦想。"
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合",/əˈkɔːdɪŋ/,"according to, according as","According to the weather forecast, it will rain tomorrow. 根据天气预报，明天会下雨。"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账",/əˈkaʊnt/,"bank account, take into account, on account of",You should take all factors into account before making a decision. 在做决定前，你应该考虑所有因素。
accountant,n. 会计师；会计人员,/əˈkaʊntənt/,"certified accountant, accountant's report, work as an accountant",My uncle works as an accountant in a big company. 我叔叔在一家大公司当会计师。
accuracy,n.  精确度，准确性,/ˈækjərəsi/,"with accuracy, accuracy of information, high accuracy",The accuracy of his report was praised by the teacher. 他报告的准确性受到了老师的表扬。
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告",/əˈkjuːz/,"accuse sb. of, be accused of, falsely accuse",He was accused of stealing the money from the office. 他被指控从办公室偷了钱。
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的",/əˈkʌstəmd/,"be accustomed to, get accustomed to, accustomed way",She is accustomed to getting up early every morning. 她习惯每天早上早起。
ache,"n. 疼痛
vi. 疼痛；渴望",/eɪk/,"stomach ache, ache for, aches and pains","After the long run, he had a terrible ache in his legs. 长跑后，他的腿疼得厉害。"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿",/əˈtʃiːv/,"achieve success, achieve a goal, achieve high grades",She worked hard to achieve high grades in the exam. 她努力学习以在考试中取得高分。
achievement,n. 成就；完成；达到；成绩,/əˈtʃiːvmənt/,"great achievement, sense of achievement, academic achievement",Winning the competition was a great achievement for the team. 赢得比赛对团队来说是一个巨大的成就。
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的",/ˈæsɪd/,"acid rain, acid test, acid comment",Acid rain can damage buildings and harm the environment. 酸雨会损坏建筑物并危害环境。
acknowledge,vt. 承认；答谢；报偿；告知已收到,/əkˈnɒlɪdʒ/,"acknowledge receipt, acknowledge one's mistake, acknowledge help",He acknowledged his mistake and apologized to his friend. 他承认了自己的错误并向朋友道歉。
acquire,vt. 获得；取得；学到；捕获,/əˈkwaɪə(r)/,"acquire knowledge, acquire a skill, acquire property",It's important to acquire good study habits in high school. 在高中养成好的学习习惯很重要。
across,"prep. 穿过；横穿
adv. 横过；在对面",/əˈkrɒs/,"across from, come across, across the country",The library is just across from the school gate. 图书馆就在学校大门对面。
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效",/ækt/,"act as, act on, act out, act of kindness","In the play, she will act as the main character. 在剧中，她将扮演主角。"
action,n. 行动；活动；功能；战斗；情节,/ˈækʃn/,"take action, in action, action movie, course of action",We must take immediate action to protect the environment. 我们必须立即采取行动保护环境。
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的",/ˈæktɪv/,"active participant, active voice, active lifestyle",She is an active participant in class discussions. 她是课堂讨论的积极参与者。
activity,n. 活动；行动；活跃,/ækˈtɪvəti/,"outdoor activity, social activity, physical activity, extracurricular activity",The school organizes various extracurricular activities to enrich students' lives. 学校组织各种课外活动来丰富学生的生活。
actor,n. 男演员；行动者；作用物,/ˈæktər/,"famous actor, lead actor, supporting actor, stage actor",He is a famous actor who has starred in many popular movies. 他是一位著名演员，出演过许多热门电影。
actress,n. 女演员,/ˈæktrəs/,"award-winning actress, lead actress, film actress, talented actress",She won the Best Actress award for her outstanding performance. 她因出色的表演获得了最佳女演员奖。
actual,adj. 真实的，实际的；现行的，目前的,/ˈæktʃuəl/,"actual situation, actual cost, actual experience, in actual fact",The actual cost of the project was much higher than expected. 项目的实际成本比预期高得多。
adapt,"vi. 适应
vt. 使适应；改编",/əˈdæpt/,"adapt to, adapt oneself to, adapt from, adapt for",It took him some time to adapt to the new environment. 他花了一些时间来适应新环境。
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和",/æd/,"add to, add up, add in, add on",Please add some sugar to the coffee to make it sweeter. 请在咖啡里加些糖让它更甜。
addition,n. 添加； 加法；增加物,/əˈdɪʃn/,"in addition, addition to, make an addition, new addition","In addition to English, she also speaks French fluently. 除了英语，她还能流利地说法语。"
additional,adj. 附加的，额外的,/əˈdɪʃənl/,"additional information, additional cost, additional time, additional support",We need additional information to complete the report. 我们需要额外的信息来完成报告。
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理",/əˈdres/,"home address, email address, address the issue, deliver an address",Please write your home address clearly on the envelope. 请在信封上清楚地写下你的家庭地址。
adequate,adj. 充足的；适当的；胜任的,/ˈædɪkwət/,"adequate time, adequate resources, adequate preparation, be adequate for",We need adequate preparation to ensure the success of the event. 我们需要充分的准备来确保活动的成功。
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应",/əˈdʒʌst/,"adjust to, adjust oneself, adjust the settings, make adjustments",You can adjust the chair to make it more comfortable. 你可以调整椅子让它更舒适。
administration,n. 管理；行政；实施；行政机构,/ədˌmɪnɪˈstreɪʃn/,"public administration, business administration, administration of justice, under the administration of",He is studying business administration at university. 他在大学学习工商管理。
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞",/ədˈmaɪər/,"admire for, admire greatly, deeply admire, admire someone's courage",I admire her for her perseverance in overcoming difficulties. 我钦佩她克服困难的毅力。
admission,n. 承认；入场费；进入许可；坦白；录用,/ədˈmɪʃn/,"admission fee, admission to, gain admission, free admission",The admission fee to the museum is 20 yuan for adults. 博物馆的入场费是成人20元。
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳",/ədˈmɪt/,"admit to, admit doing, admit that, admit into",He admitted that he had made a mistake in the calculation. 他承认在计算中犯了一个错误。
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过",/əˈdɒpt/,"adopt a policy, adopt a child, adopt measures, adopt an approach",The company decided to adopt a new marketing strategy. 公司决定采用新的营销策略。
adult,"n. 成年人
adj. 成年的；成熟的",/ˈædʌlt/,"young adult, adult education, adult life, become an adult",Adult education provides opportunities for lifelong learning. 成人教育为终身学习提供了机会。
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨",/ədˈvɑːns/,"in advance, advance payment, make advances, technological advance",Please book the tickets in advance to avoid disappointment. 请提前订票以免失望。
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）",/ədˈvɑːnst/,"advanced technology, advanced level, advanced age, advanced course",The country is known for its advanced technology in renewable energy. 这个国家以其在可再生能源方面的先进技术而闻名。
advancement,n. 前进，进步；提升,/ədˈvɑːnsmənt/,"career advancement, scientific advancement, technological advancement, make advancements",Continuous learning is essential for career advancement. 持续学习对职业发展至关重要。
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利",/ədˈvɑːntɪdʒ/,"take advantage of, have an advantage over, to one's advantage, advantage in",She took advantage of the opportunity to study abroad. 她利用这个机会出国留学。
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险",/ədˈventʃə(r)/,"go on an adventure, sense of adventure, adventure story, adventure park",They decided to go on an adventure in the mountains. 他们决定去山里冒险。
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传",/ˈædvətaɪz/,"advertise for, advertise on TV, advertise a product, advertise widely",The company advertised for new employees online. 这家公司在网上招聘新员工。
advertisement,n. 广告，宣传,/ədˈvɜːtɪsmənt/,"place an advertisement, advertisement campaign, classified advertisement, TV advertisement",He saw an advertisement for a job in the newspaper. 他在报纸上看到一则招聘广告。
advice,n. 建议；忠告；劝告；通知,/ədˈvaɪs/,"give advice, take advice, piece of advice, advice on",My teacher gave me some good advice on how to improve my English. 我的老师给了我一些如何提高英语的好建议。
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量",/ədˈvaɪz/,"advise sb. to do sth., advise against, advise on, strongly advise",The doctor advised him to get more rest. 医生建议他多休息。
aeroplane,n. 飞机（等于airplane）,/ˈeərəpleɪn/,"by aeroplane, aeroplane ticket, model aeroplane, aeroplane crash",They traveled to Beijing by aeroplane. 他们乘飞机去北京旅行。
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事,/əˈfeə(r)/,"private affair, state of affairs, love affair, mind one's own affairs","It's a private affair, so please don't tell others. 这是私事，请不要告诉别人。"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢",/əˈfekt/,"affect deeply, affect the outcome, negatively affect, affect one's mood",The bad weather affected our travel plans. 恶劣的天气影响了我们的旅行计划。
affection,n. 喜爱，感情；影响；感染,/əˈfekʃn/,"show affection, deep affection, affection for, mutual affection",She has a deep affection for her grandparents. 她对祖父母有深厚的感情。
afford,vt. 给予，提供；买得起,/əˈfɔːd/,"afford to do sth., can't afford, afford the time, afford a car",I can't afford to buy a new phone right now. 我现在买不起新手机。
afraid,adj. 害怕的；恐怕；担心的,/əˈfreɪd/,"be afraid of, afraid to do, I'm afraid, afraid that",Many children are afraid of the dark. 许多孩子害怕黑暗。
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后",/ˈɑːftə(r)/,"after all, look after, day after day, after school","After school, he usually goes to the library to study. 放学后，他通常去图书馆学习。"
afternoon,n. 午后，下午,/ˌɑːftəˈnuːn/,"in the afternoon, afternoon tea, good afternoon, afternoon nap",We have a meeting in the afternoon. 我们下午有个会议。
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩",/əˈɡen/,"again and again, once again, time and again, never again","He failed the test, but he decided to try again. 他考试没及格，但他决定再试一次。"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的",/əˈɡenst/,"against the law, fight against, against one's will, against the wall",Smoking in public places is against the law. 在公共场所吸烟是违法的。
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老",/eɪdʒ/,"at the age of, age group, old age, come of age",She started learning piano at the age of five. 她五岁开始学钢琴。
aged,"v. 老化（age的过去式）；成熟；变老
adj. 年老的；…岁的；老年人特有的",/eɪdʒd/,"aged care, the aged, aged wine, aged population",The aged need more care and attention from society. 老年人需要社会更多的关心和关注。
agency,n. 代理，中介；代理处，经销处,/ˈeɪdʒənsi/,"travel agency, news agency, government agency, agency fee",She booked her holiday through a travel agency. 她通过旅行社预订了假期。
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理",/ˈeɪdʒənt/,"secret agent, real estate agent, travel agent, cleaning agent",The real estate agent helped them find a new apartment. 房地产经纪人帮助他们找到了新公寓。
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的,/əˈɡresɪv/,"aggressive behavior, aggressive marketing, take an aggressive approach, aggressive expansion",His aggressive attitude made it difficult to work with him. (他咄咄逼人的态度让人难以与他共事。)
ago,"adj. 以前的；过去的
adv. 以前，以往",/əˈɡoʊ/,"long ago, a while ago, not long ago, years ago",I met him a few days ago at the library. (几天前我在图书馆遇到了他。)
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定",/əˈɡriː/,"agree with, agree on, agree to do something, agree that",We all agree that protecting the environment is important. (我们都同意保护环境很重要。)
agreeable,adj. 令人愉快的；适合的；和蔼可亲的,/əˈɡriːəbl/,"agreeable weather, agreeable personality, find something agreeable, be agreeable to",She has an agreeable personality and gets along well with everyone. (她性格随和，与大家相处融洽。)
agriculture,n. 农业；农耕；农业生产；农艺，农学,/ˈæɡrɪkʌltʃər/,"modern agriculture, agriculture industry, develop agriculture, sustainable agriculture",Agriculture plays a vital role in the country's economy. (农业在该国经济中起着至关重要的作用。)
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来",/əˈhed/,"go ahead, ahead of time, look ahead, get ahead",We need to plan ahead to ensure the project's success. (我们需要提前计划以确保项目成功。)
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助",/eɪd/,"first aid, foreign aid, aid in, with the aid of",The government provided aid to the disaster-stricken areas. (政府向灾区提供了援助。)
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）,/eɪdz/,"AIDS prevention, fight against AIDS, AIDS patient, spread of AIDS",Education is key to preventing the spread of AIDS. (教育是预防艾滋病传播的关键。)
Aids,,/eɪdz/,"Aids awareness, Aids research, Aids treatment, Aids crisis",Raising Aids awareness helps reduce stigma and discrimination. (提高艾滋病意识有助于减少污名和歧视。)
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准",/eɪm/,"aim at, aim to do, take aim, achieve one's aim",Her aim is to become a doctor and help those in need. (她的目标是成为一名医生，帮助有需要的人。)
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风",/er/,"fresh air, by air, in the air, air pollution",We opened the windows to let in some fresh air. (我们打开窗户让新鲜空气进来。)
air-conditioned,"adj. 备有空调装置的
v. 给…装上空调器；用空调器调节（air-condition的过去分词）",/ˈerkənˌdɪʃənd/,"air-conditioned room, air-conditioned car, stay air-conditioned, air-conditioned building",The air-conditioned classroom provides a comfortable learning environment. (装有空调的教室提供了一个舒适的学习环境。)
aircraft,n. 飞机，航空器,/ˈerkræft/,"military aircraft, aircraft carrier, aircraft engine, commercial aircraft",The new aircraft is designed to be more fuel-efficient. (这种新飞机设计得更省油。)
airline,"n. 航空公司；航线
adj. 航线的",/ˈerlaɪn/,"airline ticket, airline industry, domestic airline, airline company",She works for a major airline as a flight attendant. (她在一家大型航空公司担任空乘人员。)
airmail,n. 航空邮件,/ˈermeɪl/,"send by airmail, airmail letter, airmail service, airmail package",I sent the documents by airmail to ensure they arrive quickly. (我用航空邮件寄送文件以确保快速到达。)
airport,n. 机场；航空站,/ˈerpɔːrt/,"international airport, airport security, arrive at the airport, airport terminal",We arrived at the airport two hours before our flight. (我们在航班起飞前两小时到达了机场。)
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐",/əˈlɑːrm/,"set off the alarm, alarm clock, false alarm, raise the alarm","The fire alarm went off, and everyone evacuated the building. (火警响起，所有人都撤离了大楼。)"
album,n. 相簿；唱片集；集邮簿；签名纪念册,/ˈælbəm/,"photo album, music album, album cover, collect albums",She keeps all her childhood photos in a special album. (她把所有童年照片都保存在一个特别的相册里。)
alcohol,n. 酒精，乙醇,/ˈælkəhɔːl/,"alcohol content, avoid alcohol, alcohol abuse, alcohol consumption",Drinking too much alcohol can harm your health. (过量饮酒会损害健康。)
alcoholic,"n. 酒鬼，酗酒者
adj. 酒精的，含酒精的",/ˌælkəˈhɔːlɪk/,"alcoholic beverage, alcoholic drink, recover from alcoholic, alcoholic addiction",He decided to quit drinking after realizing he had an alcoholic problem. (意识到自己有酗酒问题后，他决定戒酒。)
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到",/əˈlɜːrt/,"on alert, alert to, alert sb. to sth., be alert for",The government issued a weather alert for the approaching storm. 政府发布了即将到来的风暴的天气警报。
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于",/əˈlaɪk/,"look alike, think alike, treat alike, be alike in",The twins look so alike that even their parents sometimes confuse them. 这对双胞胎长得如此相似，以至于他们的父母有时也会混淆。
alive,adj. 活着的；活泼的；有生气的,/əˈlaɪv/,"keep alive, come alive, alive with, be alive to",The old man is still alive and well at the age of 90. 这位老人90岁了，仍然健在。
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部",/ɔːl/,"all over, all in all, all along, all at once","All the students passed the exam, which made the teacher very happy. 所有的学生都通过了考试，这让老师非常高兴。"
allow,"vi. 容许；考虑
vt. 允许；给予；认可",/əˈlaʊ/,"allow for, allow sb. to do sth., allow of, allow into",Parents should allow their children to make their own decisions sometimes. 父母应该允许孩子有时自己做决定。
almost,adv. 差不多，几乎,/ˈɔːlmoʊst/,"almost all, almost never, almost certainly, almost finished","I have almost finished my homework, so I can go out to play soon. 我几乎完成了作业，所以很快就可以出去玩了。"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地",/əˈloʊn/,"leave alone, let alone, stand alone, all alone",She prefers to be alone when she is reading a book. 她读书时喜欢独自一人。
along,"prep. 沿着；顺着
adv. 一起；向前；来到",/əˈlɔːŋ/,"along with, get along, come along, all along",We walked along the river and enjoyed the beautiful scenery. 我们沿着河边散步，欣赏美丽的风景。
alongside,"prep. 在……旁边
adv. 在旁边",/əˌlɔːŋˈsaɪd/,"alongside of, work alongside, run alongside, park alongside",The new building was constructed alongside the old one. 新建筑建在旧建筑的旁边。
aloud,adv. 大声地；出声地,/əˈlaʊd/,"read aloud, think aloud, cry aloud, speak aloud",The teacher asked the students to read the text aloud in class. 老师要求学生在课堂上大声朗读课文。
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。",/ˈælfəbet/,"alphabet song, alphabet order, learn the alphabet, phonetic alphabet",Children usually start learning the alphabet at a very young age. 孩子们通常很小就开始学习字母表。
already,adv. 已经，早已；先前,/ɔːlˈredi/,"already done, already there, already known, already finished","When I arrived at the station, the train had already left. 当我到达车站时，火车已经开走了。"
also,"conj. 并且；另外
adv. 也；而且；同样",/ˈɔːlsoʊ/,"not only...but also..., also known as, and also, also include","She is good at math, and she also excels in English. 她数学很好，英语也很出色。"
alter,"vt. 改变，更改
vi. 改变；修改",/ˈɔːltər/,"alter course, alter plans, alter appearance, alter significantly",The company decided to alter its marketing strategy to attract more customers. 公司决定改变其营销策略以吸引更多客户。
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的",/ɔːlˈtɜːrnətɪv/,"alternative energy, alternative method, have no alternative, alternative to",Solar power is a popular alternative to traditional fossil fuels. 太阳能是传统化石燃料的一种流行替代品。
although,conj. 尽管；虽然；但是；然而,/ɔːlˈðoʊ/,"even though, although it is, although not, although true","Although it was raining heavily, they still went out for a walk. 尽管雨下得很大，他们还是出去散步了。"
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之",/ˌɔːltəˈɡeðər/,"altogether different, altogether too, in the altogether, taken altogether","Altogether, there were 50 students participating in the competition. 总共有50名学生参加了比赛。"
always,adv. 永远，一直；总是；常常,/ˈɔːlweɪz/,"always on time, always remember, always be, always do",He always helps others when they are in need. 当别人需要帮助时，他总是伸出援手。
a.m.,abbr. 上午，午前（ante meridiem）,/ˌeɪ ˈem/,"at 9 a.m., from 8 a.m. to 5 p.m., early a.m., a.m. hours",The meeting is scheduled for 10 a.m. tomorrow morning. 会议定于明天上午10点举行。
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的",/ˈæmətər/,"amateur photographer, amateur athlete, amateur status, amateur competition",He is an amateur painter who enjoys creating art in his free time. 他是一位业余画家，喜欢在空闲时间创作艺术。
amaze,vt. 使吃惊,/əˈmeɪz/,"be amazed at/by, amaze sb. with sth.",His talent for music amazed everyone at the concert. 他的音乐天赋让音乐会上的每个人都感到惊讶。
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心",/æmˈbɪʃn/,"have an ambition to do sth., achieve one's ambition, ambition for success",She has a strong ambition to become a doctor. 她有强烈的志向成为一名医生。
ambulance,n.  救护车；战时流动医院,/ˈæmbjələns/,"call an ambulance, ambulance service",They called an ambulance immediately after the accident. 事故发生后，他们立即叫了救护车。
among,prep. 在…中间；在…之中,/əˈmʌŋ/,"among others, among friends, among the best",She is among the top students in her class. 她是班上名列前茅的学生之一。
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果",/əˈmaʊnt/,"a large amount of, amount to, in amount",The total amount of money collected was over $1000. 筹集的总金额超过1000美元。
amuse,vt. 娱乐；消遣；使发笑；使愉快,/əˈmjuːz/,"amuse oneself, amuse sb. with stories",The clown's performance amused the children greatly. 小丑的表演让孩子们非常开心。
amusement,n. 消遣，娱乐；乐趣,/əˈmjuːzmənt/,"for amusement, amusement park, find amusement in",They went to the amusement park for fun on the weekend. 他们周末去游乐园玩。
an,art. 一（在元音音素前）,/ən/,"an apple, an hour, an idea",She bought an apple at the market. 她在市场买了一个苹果。
analysis,n. 分析；分解；验定,/əˈnæləsɪs/,"in-depth analysis, analysis of data, under analysis",The analysis of the test results showed significant improvement. 对测试结果的分析显示有显著进步。
analyze,vt. 对…进行分析，分解（等于analyse）,/ˈænəlaɪz/,"analyze data, analyze the situation, analyze carefully",Scientists analyze samples to understand the disease. 科学家分析样本以了解这种疾病。
ancestor,n. 始祖，祖先；被继承人,/ˈænsestər/,"common ancestor, ancestor worship, trace one's ancestors",Our ancestors lived in this village hundreds of years ago. 我们的祖先几百年前住在这个村庄。
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的",/ˈeɪnʃənt/,"ancient civilization, ancient times, ancient history",The ancient ruins attract many tourists every year. 这些古代遗址每年吸引许多游客。
and,conj. 和，与；就；而且；但是；然后,/ənd/,"and so on, and then, and yet",He likes reading books and watching movies. 他喜欢读书和看电影。
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火",/ˈæŋɡər/,"in anger, anger management, express anger",His rude words filled her with anger. 他粗鲁的话语让她充满愤怒。
angle,"n. 角度，角，方面
vi. 钓鱼；谋取",/ˈæŋɡl/,"from a different angle, angle of view, right angle",We need to consider the problem from a new angle. 我们需要从一个新的角度考虑这个问题。
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的,/ˈæŋɡri/,"get angry, angry with sb., angry about sth.",She was angry about the delay in the project. 她对项目的延迟感到生气。
animal,"n. 动物
动物的",/ˈænɪml/,"wild animal, animal rights, animal behavior",Lions are wild animals that live in Africa. 狮子是生活在非洲的野生动物。
ankle,n. 踝关节，踝,/ˈæŋkl/,"ankle injury, ankle socks, twist one's ankle",He twisted his ankle while playing basketball. 他在打篮球时扭伤了脚踝。
anniversary,n. 周年纪念日,/ˌænɪˈvɜːsəri/,"wedding anniversary, anniversary celebration, anniversary date",They celebrated their 10th wedding anniversary with a party. 他们举办派对庆祝结婚十周年纪念日。
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员",/əˈnaʊns/,"announce a decision, announce the winner, announce officially",The principal will announce the exam results tomorrow. 校长明天将宣布考试结果。
